id,lat,lon,start,end,citation,EEZ
90,28.989172,-89.266676,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
91,28.989076,-89.266868,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
92,28.989076,-89.266868,2021-11-02,2021-11-02,Carbon Mapper,Gulf of Mexico
93,28.972737,-89.797506,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
94,28.9287,-90.352884,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
95,28.868145,-90.491446,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
96,29.02661698,-90.84341326,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
97,28.95487,-90.960878,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
98,29.061753,-91.447123,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
99,29.190638,-91.61751,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
100,29.332617,-91.871717,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
101,29.441888,-92.062148,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
102,29.454477,-91.920026,2021-11-01,2021-11-01,Carbon Mapper,Gulf of Mexico
103,29.354547,-88.934693,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
104,29.28488671,-89.09875707,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
105,29.241096,-89.076621,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
106,29.251247,-89.087781,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
107,29.264317,-89.082655,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
108,29.253331,-89.086066,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
109,29.253456,-89.045133,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
110,29.241341,-89.076186,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
111,29.251247,-89.087781,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
112,29.247377,-89.050081,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
113,29.253332,-89.045138,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
114,29.251343,-89.053509,2021-10-31,2021-10-31,Carbon Mapper,Gulf of Mexico
115,29.026641,-90.842923,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
116,28.954983,-90.960252,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
117,28.954671,-90.96037,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
118,29.19003565,-91.61726615,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
119,29.37913,-91.752918,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
120,29.333335,-91.871542,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
121,29.3323084,-91.870518,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
122,29.441379,-92.06201,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
123,29.4542232,-91.91919,2021-10-30,2021-10-30,Carbon Mapper,Gulf of Mexico
124,29.1329107,-89.387937,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
125,29.127007,-89.321799,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
126,28.9853322,-90.161532,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
127,29.047334,-90.162671,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
128,29.206186,-90.508692,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
129,29.222418,-90.480004,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
130,29.206085,-90.508467,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
131,29.11374,-90.483062,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
132,29.10046741,-90.62769572,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
133,29.186708,-90.667597,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
134,28.9548619,-90.96034,2021-10-29,2021-10-29,Carbon Mapper,Gulf of Mexico
135,29.570741,-89.512292,2021-10-26,2021-10-26,Carbon Mapper,Gulf of Mexico
136,29.586068,-89.543355,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
137,29.590327,-89.541839,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
138,29.570616,-89.510839,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
139,29.452777,-89.403191,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
140,29.133057,-89.387712,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
141,29.133057,-89.387712,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
142,29.12715525,-89.32258407,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
143,28.989562,-89.266267,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
144,28.98940158,-89.26613804,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
145,28.98940358,-89.26620975,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
146,29.22248851,-90.47993832,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
147,29.206092,-90.508376,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
148,29.12086,-90.518024,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
149,29.11833956,-90.50258268,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
150,29.113643,-90.4831,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
151,29.091914,-90.51296,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
152,29.026225,-90.843002,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
153,29.07734,-90.869619,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
154,28.954972,-90.960176,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
155,29.061573,-91.445289,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
156,29.18996,-91.617158,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
157,29.3787666,-91.75301827,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
158,29.332159,-91.871298,2021-10-25,2021-10-25,Carbon Mapper,Gulf of Mexico
159,28.867719,-90.490863,2021-10-22,2021-10-22,Carbon Mapper,Gulf of Mexico
160,29.126841,-89.322631,2021-10-22,2021-10-22,Carbon Mapper,Gulf of Mexico
161,29.564472,-89.337991,2021-10-22,2021-10-22,Carbon Mapper,Gulf of Mexico
162,30.084782,-88.497193,2021-10-22,2021-10-22,Carbon Mapper,Gulf of Mexico
163,29.41951708,-89.51368429,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
164,29.452151,-89.402357,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
165,29.53124277,-89.4865071,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
166,29.57101037,-89.51180732,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
167,29.586402,-89.544026,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
168,29.590522,-89.54226,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
169,28.86720664,-90.49143222,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
170,28.868157,-90.491473,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
171,28.928851,-90.35287,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
172,29.091652,-90.513527,2021-10-21,2021-10-21,Carbon Mapper,Gulf of Mexico
173,29.091691,-90.513144,2021-10-19,2021-10-19,Carbon Mapper,Gulf of Mexico
174,29.113595,-90.483592,2021-10-19,2021-10-19,Carbon Mapper,Gulf of Mexico
175,29.5710362,-89.51159,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
176,28.94676,-89.706813,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
177,29.09829464,-89.98116368,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
178,29.1010755,-89.978495,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
179,28.9990559,-89.959171,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
180,28.94661265,-90.03076104,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
181,28.9290248,-90.3527,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
182,29.118294,-90.502532,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
183,29.11843424,-90.50258039,2021-05-08,2021-05-08,Carbon Mapper,Gulf of Mexico
184,29.5697876,-89.510911,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
185,29.229527,-89.390137,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
186,28.9289659,-90.352917,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
187,28.8671697,-90.491146,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
188,29.0775171,-90.870788,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
189,29.19034774,-91.61690201,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
190,29.33276067,-91.87170235,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
191,29.3790838,-91.753159,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
192,29.33279104,-91.87155783,2021-05-07,2021-05-07,Carbon Mapper,Gulf of Mexico
193,29.57077331,-89.51239308,2021-05-04,2021-05-04,Carbon Mapper,Gulf of Mexico
194,28.9465431,-89.706559,2021-05-03,2021-05-03,Carbon Mapper,Gulf of Mexico
195,28.94229,-89.715915,2021-05-03,2021-05-03,Carbon Mapper,Gulf of Mexico
196,29.11830666,-90.50251156,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
197,29.11836911,-90.50247409,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
198,29.113683,-90.483207,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
199,29.1137776,-90.483205,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
200,28.928818,-90.353423,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
201,28.9288187,-90.353459,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
202,29.09829707,-89.98127143,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
203,29.0981563,-89.98203,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
204,28.94611421,-90.03106239,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
205,28.94592967,-90.03128299,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
206,28.9988059,-89.959286,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
207,28.9987752,-89.959322,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
208,28.94702765,-89.70700982,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
209,28.9470627,-89.70715225,2021-04-29,2021-04-29,Carbon Mapper,Gulf of Mexico
210,28.94238901,-89.71738326,2021-04-27,2021-04-27,Carbon Mapper,Gulf of Mexico
211,19.56718,-92.23782,2024-02-24,2024-02-24,UNEP IMEO MARS,Mexico
212,19.56691,-92.23725,2023-10-19,2023-10-19,UNEP IMEO MARS,Mexico
213,19.59116,-92.20253,2024-10-13,2024-10-13,UNEP IMEO MARS,Mexico
214,19.60266,-92.29516,2023-09-01,2023-09-01,UNEP IMEO MARS,Mexico
215,19.56691,-92.23754,2023-10-03,2023-10-03,UNEP IMEO MARS,Mexico
216,19.5917,-92.20367,2024-07-01,2024-07-01,UNEP IMEO MARS,Mexico
217,19.56609,-92.23669,2023-08-16,2023-08-16,UNEP IMEO MARS,Mexico
218,19.5661,-92.23754,2023-07-15,2023-07-15,UNEP IMEO MARS,Mexico
219,19.60241,-92.30031,2023-07-15,2023-07-15,UNEP IMEO MARS,Mexico
220,19.60211,-92.29344,2023-10-19,2023-10-19,UNEP IMEO MARS,Mexico
221,19.59089,-92.20224,2024-09-03,2024-09-03,UNEP IMEO MARS,Mexico
222,19.59089,-92.20282,2023-10-03,2023-10-03,UNEP IMEO MARS,Mexico
223,19.61102,-92.21817,2023-09-25,2023-09-25,UNEP IMEO MARS,Mexico
224,19.61575,-92.31656,2023-09-25,2023-09-25,UNEP IMEO MARS,Mexico
225,19.57507,-92.24294,2023-09-25,2023-09-25,UNEP IMEO MARS,Mexico
226,19.59143,-92.20281,2024-06-07,2024-06-07,UNEP IMEO MARS,Mexico
227,19.59251,-92.20166,2024-09-11,2024-09-11,UNEP IMEO MARS,Mexico
228,19.56637,-92.23726,2024-09-11,2024-09-11,UNEP IMEO MARS,Mexico
229,19.56718,-92.23754,2024-11-22,2024-11-22,UNEP IMEO MARS,Mexico
230,19.56582,-92.23669,2024-04-20,2024-04-20,UNEP IMEO MARS,Mexico
