lat,lon,start,end,note
-26.451159932337905,-46.563016758437406,2020-11-02,2020-11-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-01-11,2021-01-25,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-02-05,2021-02-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-03-27,2021-03-31,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-04-11,2021-04-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-05-01,2021-05-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-06-15,2021-06-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-06-25,2021-06-29,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-07-05,2021-07-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-07-15,2021-07-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-07-30,2021-08-03,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-09-28,2021-10-02,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-10-23,2021-10-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-11-02,2021-11-06,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-11-12,2021-11-16,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-11-22,2021-11-26,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-12-02,2021-12-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-12-17,2021-12-21,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2021-12-27,2022-01-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-01-26,2022-01-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-02-05,2022-02-24,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-03-07,2022-03-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-03-22,2022-03-31,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-04-11,2022-04-15,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-04-26,2022-04-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-05-06,2022-05-10,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-05-16,2022-05-25,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-06-20,2022-06-24,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-06-30,2022-07-04,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-07-25,2022-07-29,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-08-04,2022-08-08,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-08-14,2022-08-18,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-08-24,2022-08-28,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-09-08,2022-09-12,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-09-18,2022-09-22,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-10-03,2022-10-12,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-10-23,2022-10-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-11-07,2022-11-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-11-17,2022-11-21,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2022-12-07,2022-12-26,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-01-06,2023-01-10,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-01-21,2023-01-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-02-05,2023-02-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-02-15,2023-02-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-03-02,2023-03-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-03-22,2023-03-31,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-04-11,2023-04-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-05-01,2023-05-10,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-05-16,2023-05-30,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-06-05,2023-06-14,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-07-05,2023-07-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-07-30,2023-08-03,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-08-24,2023-08-28,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-09-13,2023-09-17,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-10-03,2023-10-07,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-11-12,2023-11-26,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-12-02,2023-12-06,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2023-12-22,2024-01-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-01-31,2024-02-19,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-03-06,2024-03-10,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-03-16,2024-04-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-05-30,2024-06-03,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-06-14,2024-06-28,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-08-03,2024-08-07,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-08-23,2024-08-27,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-09-07,2024-09-26,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-10-07,2024-10-11,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-10-17,2024-10-21,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-11-01,2024-11-15,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-11-21,2024-12-05,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-12-11,2024-12-20,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2024-12-31,2025-01-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-01-25,2025-01-29,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-02-14,2025-02-18,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-03-01,2025-03-15,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-03-31,2025-04-09,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-04-20,2025-05-04,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-05-15,2025-05-21,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-05-30,2025-06-08,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-06-19,2025-06-28,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-07-04,2025-07-08,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-07-14,2025-07-23,possible venting from flaring dataset
-26.451159932337905,-46.563016758437406,2025-07-29,2025-07-29,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2018-04-04,2018-04-13,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2018-08-12,2018-08-21,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2019-03-20,2019-03-29,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-03-09,2020-03-13,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-04-03,2020-04-07,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-05-03,2020-05-07,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-09-10,2020-09-14,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2020-09-30,2020-10-04,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-02-22,2021-02-26,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-05-23,2021-05-27,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-06-02,2021-06-06,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-06-12,2021-06-16,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-07-27,2021-07-31,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2021-08-21,2021-08-25,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-01-18,2022-01-22,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-02-02,2022-02-06,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-03-19,2022-03-28,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-05-08,2022-05-12,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-07-02,2022-07-11,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-07-22,2022-07-26,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-08-11,2022-08-20,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2022-09-20,2022-09-24,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2023-01-03,2023-01-07,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2023-02-12,2023-02-16,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2023-03-19,2023-03-23,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2023-04-28,2023-05-02,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2023-09-20,2023-09-24,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2024-05-17,2024-05-26,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2024-06-16,2024-06-20,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2025-03-23,2025-03-27,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2025-04-22,2025-04-26,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2025-05-17,2025-05-21,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2025-05-27,2025-05-31,possible venting from flaring dataset
-25.799942005913135,-43.26314991721053,2025-06-26,2025-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2016-04-24,2018-01-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-03-05,2018-04-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-05-04,2018-06-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-08-12,2018-08-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-09-11,2018-09-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-10-21,2018-10-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2018-12-10,2019-02-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-04-09,2019-04-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-05-09,2019-05-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-06-18,2019-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-07-08,2019-08-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-10-26,2019-10-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-11-25,2019-12-04,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2019-12-15,2020-01-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-02-08,2020-02-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-02-28,2020-03-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-03-24,2020-04-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-04-08,2020-04-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-04-18,2020-04-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-05-03,2020-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-06-12,2020-06-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-07-12,2020-07-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-07-22,2020-08-15,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-08-26,2020-09-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-09-30,2020-10-04,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-10-10,2020-10-14,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-10-20,2020-10-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-04,2020-12-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-14,2020-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2020-12-24,2020-12-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-01-13,2021-02-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-02-17,2021-02-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-04-28,2021-05-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-05-18,2021-06-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-07-02,2021-07-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-07-22,2021-08-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-08-21,2021-08-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-10-20,2021-10-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-11-04,2021-11-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-11-24,2021-12-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2021-12-19,2021-12-23,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-01-13,2022-01-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-02-02,2022-02-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-02-27,2022-03-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-03-19,2022-04-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-04-18,2022-04-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-05-08,2022-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-07-02,2022-07-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-07-22,2022-08-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-08-16,2022-08-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-09-05,2022-09-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-10-20,2022-10-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-12-14,2022-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-12-24,2022-12-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-03,2023-01-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-13,2023-01-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-28,2023-02-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-02-22,2023-02-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-03-09,2023-03-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-04-03,2023-04-17,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-04-23,2023-05-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-05-13,2023-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-05-28,2023-06-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-06-17,2023-07-11,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-07-22,2023-07-31,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-08-06,2023-08-15,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-08-31,2023-09-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-10,2023-10-14,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-20,2023-10-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-30,2023-11-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-12-14,2023-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-01-08,2024-01-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-01-28,2024-02-06,possible venting from flaring dataset
