sgi,glint_alpha,sid
-0.7418081319174553,30.233953,20230830T162839_20230830T164019_T15QWB
-0.056663985527915864,29.069138,20230830T162839_20230830T164019_T15QWB
-0.6578192092053259,29.068127,20230830T162839_20230830T164019_T15QWB
-0.7229090805570936,30.122547,20230830T162839_20230830T164019_T15QWB
-0.6759124056032758,28.218843,20230830T162839_20230830T164019_T15QWB
-0.5037468867189323,26.392622,20230830T162839_20230830T164019_T15QWB
-0.6267154505868959,25.689466,20230830T162839_20230830T164019_T15QWB
-0.7590164024905427,34.084316,20230830T162839_20230830T164019_T15QWB
-0.7560574941879734,34.39092,20230830T162839_20230830T164019_T15QWB
-0.6063860452460578,26.987862,20230830T162839_20230830T164019_T15QWB
-0.5808031309659145,27.584093,20230830T162839_20230830T164019_T15QWB
-0.6515783146903245,27.340368,20230830T162839_20230830T164019_T15QWB
-0.610934506181658,27.133667,20230830T162839_20230830T164019_T15QWB
-0.675852070248534,29.69801,20230830T162839_20230830T164019_T15QWB
-0.7184264886196379,33.674927,20230830T162839_20230830T164019_T15QWB
-0.18004697603038922,30.012232,20230830T162839_20230830T164019_T15QWB
-0.7282311531514719,31.896685,20230830T162839_20230830T164019_T15QWB
-0.7636816005978442,33.771233,20230830T162839_20230830T164019_T15QWB
-0.680721128677821,27.442879,20230830T162839_20230830T164019_T15QWB
-0.5400457737593233,25.692932,20230830T162839_20230830T164019_T15QWB
-0.7067494079969103,30.433353,20230830T162839_20230830T164019_T15QWB
-0.5829081590379172,30.012232,20230830T162839_20230830T164019_T15QWB
-0.6715039598503149,34.19328,20230830T162839_20230830T164019_T15QWB
-0.6028194841700281,28.963085,20230830T162839_20230830T164019_T15QWB
-0.6848967881413527,29.69801,20230830T162839_20230830T164019_T15QWB
-0.5850196207251618,26.452076,20230830T162839_20230830T164019_T15QWB
-0.7778681668432561,34.106365,20230830T162839_20230830T164019_T15QWB
-0.7207665082959318,30.663109,20230830T162839_20230830T164019_T15QWB
-0.5874411137287369,26.431316,20230830T162839_20230830T164019_T15QWB
-0.6878251942638555,30.24298,20230830T162839_20230830T164019_T15QWB
-0.7697899889765786,33.059303,20230830T162839_20230830T164019_T15QWB
-0.7448359719730978,33.771233,20230830T162839_20230830T164019_T15QWB
-0.7915445835906897,34.805218,20230830T162839_20230830T164019_T15QWB
-0.6305244700360391,26.473642,20230830T162839_20230830T164019_T15QWB
-0.5928829789937443,26.308325,20230830T162839_20230830T164019_T15QWB
-0.7693241574951647,34.18052,20230830T162839_20230830T164019_T15QWB
-0.7898248514213216,33.161964,20230830T162839_20230830T164019_T15QWB
-0.6899963216681919,30.89514,20230830T162839_20230830T164019_T15QWB
-0.7489143317300576,32.467762,20230830T162839_20230830T164019_T15QWB
-0.7811106767707651,34.004074,20230830T162839_20230830T164019_T15QWB
-0.5795348699560934,27.152718,20230830T162839_20230830T164019_T15QWB
-0.5854954733618017,26.761011,20230830T162839_20230830T164019_T15QWB
-0.752577309909379,30.24298,20230830T162839_20230830T164019_T15QWB
-0.7136258733528053,32.454082,20230830T162839_20230830T164019_T15QWB
-0.6902679727944309,27.112549,20230830T162839_20230830T164019_T15QWB
-0.7367050826668454,34.302525,20230830T162839_20230830T164019_T15QWB
-0.7184466013930846,30.840498,20230830T162839_20230830T164019_T15QWB
-0.7464464122792894,33.9888,20230830T162839_20230830T164019_T15QWB
-0.6224040143674304,26.65801,20230830T162839_20230830T164019_T15QWB
-0.652677264969243,29.382946,20230830T162839_20230830T164019_T15QWB
-0.7371937382346624,30.230427,20230830T162839_20230830T164019_T15QWB
-0.5747058744930941,26.19379,20230830T162839_20230830T164019_T15QWB
-0.6820895426226772,32.48207,20230830T162839_20230830T164019_T15QWB
-0.7760648998475899,33.381866,20230830T162839_20230830T164019_T15QWB
-0.5759021695004954,26.11876,20230830T162839_20230830T164019_T15QWB
-0.7040971140772769,29.278584,20230830T162839_20230830T164019_T15QWB
-0.5631320383304927,25.998493,20230830T162839_20230830T164019_T15QWB
-0.7784090814383197,33.99615,20230830T162839_20230830T164019_T15QWB
-0.7644230694964337,33.264763,20230830T162839_20230830T164019_T15QWB
-0.7015706925539508,30.366299,20230830T162839_20230830T164019_T15QWB
-0.610414661823382,27.667568,20230830T162839_20230830T164019_T15QWB
-0.5987903321582584,27.378468,20230830T162839_20230830T164019_T15QWB
