id,structure_id,start,end,citation
222,x51,2023-10-03,2023-10-03,UNEP IMEO MARS
223,x50,2023-09-25,2023-09-25,UNEP IMEO MARS
224,x1,2023-09-25,2023-09-25,UNEP IMEO MARS
225,x9,2023-09-25,2023-09-25,UNEP IMEO MARS
226,x51,2024-06-07,2024-06-07,UNEP IMEO MARS
227,x51,2024-09-11,2024-09-11,UNEP IMEO MARS
228,x10,2024-09-11,2024-09-11,UNEP IMEO MARS
229,x10,2024-11-22,2024-11-22,UNEP IMEO MARS
230,x10,2024-04-20,2024-04-20,UNEP IMEO MARS
231,x10,2024-02-08,2024-02-08,UNEP IMEO MARS
232,x10,2024-02-16,2024-02-16,UNEP IMEO MARS
233,x10,2023-07-07,2023-07-07,UNEP IMEO MARS
234,x51,2023-11-20,2023-11-20,UNEP IMEO MARS
235,x10,2023-11-20,2023-11-20,UNEP IMEO MARS
236,x10,2024-03-27,2024-03-27,UNEP IMEO MARS
237,x51,2024-07-25,2024-07-25,UNEP IMEO MARS
238,x10,2024-06-23,2024-06-23,UNEP IMEO MARS
239,x2,2023-08-08,2023-08-08,UNEP IMEO MARS
240,x51,2024-08-02,2024-08-02,UNEP IMEO MARS
241,x10,2023-08-08,2023-08-08,UNEP IMEO MARS
242,x51,2024-08-10,2024-08-10,UNEP IMEO MARS
243,x2,2023-07-23,2023-07-23,UNEP IMEO MARS
244,x10,2023-04-10,2023-04-10,UNEP IMEO MARS
245,x10,2024-05-06,2024-05-06,UNEP IMEO MARS
246,x2,2023-09-17,2023-09-17,UNEP IMEO MARS
247,x10,2023-09-17,2023-09-17,UNEP IMEO MARS
248,x51,2024-09-19,2024-09-19,UNEP IMEO MARS
249,x51,2024-08-18,2024-08-18,UNEP IMEO MARS
250,x51,2023-08-24,2023-08-24,UNEP IMEO MARS
251,x10,2023-10-11,2023-10-11,UNEP IMEO MARS
252,x10,2023-05-12,2023-05-12,UNEP IMEO MARS
253,x236,2022-04-07,2022-04-07,UNEP IMEO MARS
254,x236,2024-03-11,2024-03-11,UNEP IMEO MARS
255,x236,2022-08-13,2022-08-13,UNEP IMEO MARS
256,x236,2023-04-18,2023-04-18,UNEP IMEO MARS
257,x236,2024-03-19,2024-03-19,UNEP IMEO MARS
258,x236,2024-02-08,2024-02-08,UNEP IMEO MARS
259,x236,2023-06-29,2023-06-29,UNEP IMEO MARS
260,x236,2023-11-12,2023-11-12,UNEP IMEO MARS
261,x236,2024-04-28,2024-04-28,UNEP IMEO MARS
262,x236,2024-09-03,2024-09-03,UNEP IMEO MARS
263,x236,2024-05-06,2024-05-06,UNEP IMEO MARS
264,x236,2023-08-24,2023-08-24,UNEP IMEO MARS
265,x10,2024-02-09,2024-02-09,UNEP IMEO MARS
266,x217,2023-08-14,2023-08-14,UNEP IMEO MARS
267,x236,2023-04-24,2023-04-24,UNEP IMEO MARS
268,x324,2020-01-13,2020-01-27,possible venting from flaring dataset
269,x324,2020-02-12,2020-03-07,possible venting from flaring dataset
270,x324,2020-03-18,2020-04-11,possible venting from flaring dataset
271,x324,2020-04-22,2020-04-26,possible venting from flaring dataset
272,x324,2020-05-07,2020-05-21,possible venting from flaring dataset
273,x324,2020-06-21,2020-06-25,possible venting from flaring dataset
274,x324,2020-07-01,2020-07-05,possible venting from flaring dataset
275,x324,2020-07-16,2020-07-30,possible venting from flaring dataset
276,x324,2020-08-10,2020-08-14,possible venting from flaring dataset
277,x324,2020-08-20,2020-09-03,possible venting from flaring dataset
278,x324,2020-09-09,2020-10-03,possible venting from flaring dataset
279,x324,2020-10-19,2020-11-12,possible venting from flaring dataset
280,x324,2021-02-11,2021-03-02,possible venting from flaring dataset
281,x324,2021-03-08,2021-03-22,possible venting from flaring dataset
282,x324,2021-03-28,2021-04-26,possible venting from flaring dataset
283,x324,2021-05-02,2021-07-05,possible venting from flaring dataset
284,x324,2021-07-21,2021-07-30,possible venting from flaring dataset
285,x324,2021-08-05,2021-08-19,possible venting from flaring dataset
286,x324,2021-08-25,2021-08-29,possible venting from flaring dataset
287,x324,2021-09-04,2021-09-13,possible venting from flaring dataset
288,x324,2021-10-09,2021-10-28,possible venting from flaring dataset
289,x324,2021-11-03,2021-11-22,possible venting from flaring dataset
290,x324,2022-01-07,2022-01-11,possible venting from flaring dataset
291,x324,2022-01-22,2022-01-31,possible venting from flaring dataset
292,x324,2022-02-21,2022-03-07,possible venting from flaring dataset
293,x324,2022-03-18,2022-04-01,possible venting from flaring dataset
294,x324,2022-04-12,2022-04-16,possible venting from flaring dataset
295,x324,2022-04-27,2022-05-06,possible venting from flaring dataset
296,x324,2022-06-16,2022-07-05,possible venting from flaring dataset
297,x324,2022-07-16,2022-07-25,possible venting from flaring dataset
298,x324,2022-08-15,2022-09-08,possible venting from flaring dataset
299,x324,2022-09-24,2022-10-18,possible venting from flaring dataset
300,x324,2022-11-13,2022-11-17,possible venting from flaring dataset
301,x324,2022-11-28,2022-12-22,possible venting from flaring dataset
302,x324,2023-02-16,2023-02-25,possible venting from flaring dataset
303,x324,2023-03-13,2023-04-01,possible venting from flaring dataset
304,x324,2023-04-07,2023-04-26,possible venting from flaring dataset
305,x324,2023-05-02,2023-05-06,possible venting from flaring dataset
306,x324,2023-05-12,2023-05-31,possible venting from flaring dataset
307,x324,2023-06-11,2023-06-30,possible venting from flaring dataset
308,x324,2023-07-11,2023-07-20,possible venting from flaring dataset
309,x324,2023-07-31,2023-08-24,possible venting from flaring dataset
310,x324,2023-09-09,2023-09-23,possible venting from flaring dataset
311,x324,2023-10-04,2023-10-23,possible venting from flaring dataset
312,x324,2023-10-29,2023-11-07,possible venting from flaring dataset
313,x324,2023-11-13,2023-11-17,possible venting from flaring dataset
314,x324,2023-12-03,2023-12-12,possible venting from flaring dataset
315,x324,2023-12-28,2024-01-01,possible venting from flaring dataset
316,x324,2024-01-27,2024-02-10,possible venting from flaring dataset
317,x324,2024-02-21,2024-03-01,possible venting from flaring dataset
318,x324,2024-03-07,2024-03-11,possible venting from flaring dataset
319,x324,2024-04-26,2024-05-25,possible venting from flaring dataset
320,x324,2024-06-05,2024-06-14,possible venting from flaring dataset
321,x324,2024-06-20,2024-06-29,possible venting from flaring dataset
322,x324,2024-07-05,2024-07-09,possible venting from flaring dataset
323,x324,2024-07-15,2024-08-03,possible venting from flaring dataset
324,x324,2024-08-09,2024-08-28,possible venting from flaring dataset
325,x324,2024-09-23,2024-10-22,possible venting from flaring dataset
326,x324,2024-11-02,2024-11-21,possible venting from flaring dataset
327,x324,2025-01-01,2025-01-05,possible venting from flaring dataset
328,x324,2025-02-20,2025-02-24,possible venting from flaring dataset
329,x324,2025-03-27,2025-04-20,possible venting from flaring dataset
330,x324,2025-04-26,2025-05-25,possible venting from flaring dataset
331,x324,2025-06-07,2025-06-19,possible venting from flaring dataset
332,x324,2025-06-25,2025-07-09,possible venting from flaring dataset
333,x325,2020-01-13,2020-01-22,possible venting from flaring dataset
334,x325,2020-02-12,2020-03-07,possible venting from flaring dataset
335,x325,2020-03-13,2020-03-22,possible venting from flaring dataset
336,x325,2020-04-07,2020-04-11,possible venting from flaring dataset
337,x325,2020-04-17,2020-04-26,possible venting from flaring dataset
338,x325,2020-07-01,2020-07-10,possible venting from flaring dataset
339,x325,2020-07-16,2020-07-30,possible venting from flaring dataset
340,x325,2020-08-10,2020-08-14,possible venting from flaring dataset
341,x325,2020-08-20,2020-09-03,possible venting from flaring dataset
342,x325,2020-09-09,2020-09-18,possible venting from flaring dataset
343,x325,2020-09-24,2020-10-03,possible venting from flaring dataset
344,x325,2020-11-18,2020-11-22,possible venting from flaring dataset
345,x325,2021-02-06,2021-03-02,possible venting from flaring dataset
346,x325,2021-03-08,2021-04-11,possible venting from flaring dataset
347,x325,2021-04-17,2021-04-26,possible venting from flaring dataset
348,x325,2021-05-02,2021-05-31,possible venting from flaring dataset
349,x325,2021-06-11,2021-07-05,possible venting from flaring dataset
350,x325,2021-07-16,2021-07-30,possible venting from flaring dataset
351,x325,2021-08-05,2021-08-14,possible venting from flaring dataset
352,x325,2021-09-04,2021-09-13,possible venting from flaring dataset
353,x325,2021-10-09,2021-10-13,possible venting from flaring dataset
354,x325,2021-10-19,2021-10-28,possible venting from flaring dataset
355,x325,2021-11-18,2021-11-27,possible venting from flaring dataset
356,x325,2021-12-23,2022-01-01,possible venting from flaring dataset
357,x325,2022-01-07,2022-01-11,possible venting from flaring dataset
358,x325,2022-01-27,2022-02-05,possible venting from flaring dataset
359,x325,2022-02-16,2022-03-12,possible venting from flaring dataset
360,x325,2022-03-18,2022-04-06,possible venting from flaring dataset
361,x325,2022-04-12,2022-04-16,possible venting from flaring dataset
362,x325,2022-04-22,2022-05-06,possible venting from flaring dataset
363,x325,2022-06-16,2022-07-05,possible venting from flaring dataset
364,x325,2022-07-16,2022-07-25,possible venting from flaring dataset
365,x325,2022-08-10,2022-09-08,possible venting from flaring dataset
366,x325,2022-09-29,2022-10-18,possible venting from flaring dataset
367,x325,2022-11-03,2022-11-17,possible venting from flaring dataset
368,x325,2022-12-08,2022-12-22,possible venting from flaring dataset
369,x325,2023-02-06,2023-02-10,possible venting from flaring dataset
370,x325,2023-02-16,2023-02-25,possible venting from flaring dataset
371,x325,2023-03-13,2023-03-17,possible venting from flaring dataset
372,x325,2023-03-23,2023-03-27,possible venting from flaring dataset
373,x325,2023-04-02,2023-04-26,possible venting from flaring dataset
374,x325,2023-05-02,2023-05-06,possible venting from flaring dataset
375,x325,2023-05-12,2023-05-26,possible venting from flaring dataset
376,x325,2023-06-11,2023-07-05,possible venting from flaring dataset
377,x325,2023-07-11,2023-07-15,possible venting from flaring dataset
378,x325,2023-07-26,2023-07-30,possible venting from flaring dataset
379,x325,2023-08-05,2023-08-24,possible venting from flaring dataset
380,x325,2023-10-04,2023-10-23,possible venting from flaring dataset
381,x325,2023-10-29,2023-11-07,possible venting from flaring dataset
382,x325,2023-12-03,2023-12-12,possible venting from flaring dataset
383,x325,2023-12-23,2024-01-01,possible venting from flaring dataset
384,x325,2024-01-27,2024-02-10,possible venting from flaring dataset
385,x325,2024-02-16,2024-03-01,possible venting from flaring dataset
386,x325,2024-03-07,2024-03-16,possible venting from flaring dataset
387,x325,2024-03-27,2024-04-05,possible venting from flaring dataset
388,x325,2024-04-26,2024-05-25,possible venting from flaring dataset
389,x325,2024-06-20,2024-06-29,possible venting from flaring dataset
390,x325,2024-07-15,2024-07-29,possible venting from flaring dataset
391,x325,2024-08-09,2024-08-23,possible venting from flaring dataset
392,x325,2024-09-23,2024-10-07,possible venting from flaring dataset
393,x325,2024-10-13,2024-10-22,possible venting from flaring dataset
394,x325,2024-11-02,2024-11-21,possible venting from flaring dataset
395,x325,2024-12-22,2024-12-26,possible venting from flaring dataset
396,x325,2025-01-01,2025-01-05,possible venting from flaring dataset
397,x325,2025-03-02,2025-03-16,possible venting from flaring dataset
398,x325,2025-03-27,2025-04-05,possible venting from flaring dataset
399,x325,2025-04-11,2025-04-20,possible venting from flaring dataset
400,x325,2025-04-26,2025-06-04,possible venting from flaring dataset
401,x325,2025-06-10,2025-06-19,possible venting from flaring dataset
402,x325,2025-06-27,2025-07-04,possible venting from flaring dataset
403,x302,2020-08-03,2020-08-04,possible venting from flaring dataset
404,x302,2021-02-24,2021-02-25,possible venting from flaring dataset
405,x322,2022-01-17,2022-01-21,possible venting from flaring dataset
406,x292,2020-01-01,2020-01-05,possible venting from flaring dataset
407,x292,2020-07-04,2020-07-08,possible venting from flaring dataset
408,x292,2021-05-10,2021-05-14,possible venting from flaring dataset
409,x292,2022-08-13,2022-08-17,possible venting from flaring dataset
410,x292,2024-01-25,2024-01-29,possible venting from flaring dataset
411,x292,2024-02-04,2024-02-08,possible venting from flaring dataset
412,x292,2024-10-11,2024-10-15,possible venting from flaring dataset
413,x292,2025-03-25,2025-04-08,possible venting from flaring dataset
414,x292,2025-04-19,2025-04-23,possible venting from flaring dataset
415,x292,2025-06-03,2025-06-07,possible venting from flaring dataset
416,x292,2025-06-10,2025-06-12,possible venting from flaring dataset
417,x323,2020-02-02,2020-02-06,possible venting from flaring dataset
418,x323,2020-02-12,2020-02-16,possible venting from flaring dataset
419,x323,2020-02-22,2020-03-07,possible venting from flaring dataset
420,x323,2020-03-13,2020-03-17,possible venting from flaring dataset
421,x323,2020-05-07,2020-05-11,possible venting from flaring dataset
422,x323,2020-07-16,2020-07-20,possible venting from flaring dataset
423,x323,2020-08-05,2020-08-14,possible venting from flaring dataset
424,x323,2020-08-30,2020-09-03,possible venting from flaring dataset
425,x323,2020-10-29,2020-11-02,possible venting from flaring dataset
426,x323,2021-02-06,2021-02-10,possible venting from flaring dataset
427,x323,2021-04-22,2021-04-26,possible venting from flaring dataset
428,x323,2021-06-01,2021-06-05,possible venting from flaring dataset
429,x323,2021-06-21,2021-07-05,possible venting from flaring dataset
430,x323,2021-07-21,2021-08-14,possible venting from flaring dataset
431,x323,2021-10-09,2021-10-18,possible venting from flaring dataset
432,x323,2021-11-03,2021-11-17,possible venting from flaring dataset
433,x323,2021-11-23,2021-11-27,possible venting from flaring dataset
434,x323,2022-02-16,2022-02-20,possible venting from flaring dataset
435,x323,2022-02-26,2022-03-02,possible venting from flaring dataset
436,x323,2022-03-13,2022-03-22,possible venting from flaring dataset
437,x323,2022-06-26,2022-06-30,possible venting from flaring dataset
438,x323,2022-08-25,2022-08-29,possible venting from flaring dataset
439,x323,2023-01-12,2023-01-21,possible venting from flaring dataset
440,x323,2023-03-08,2023-03-12,possible venting from flaring dataset
441,x323,2023-03-23,2023-03-27,possible venting from flaring dataset
442,x323,2023-04-27,2023-05-11,possible venting from flaring dataset
443,x323,2023-06-26,2023-06-30,possible venting from flaring dataset
444,x323,2023-08-05,2023-08-24,possible venting from flaring dataset
445,x323,2023-10-04,2023-10-13,possible venting from flaring dataset
446,x323,2023-12-23,2024-01-01,possible venting from flaring dataset
447,x323,2024-01-12,2024-01-26,possible venting from flaring dataset
448,x323,2024-02-16,2024-02-20,possible venting from flaring dataset
449,x323,2024-02-26,2024-03-06,possible venting from flaring dataset
450,x323,2024-03-27,2024-03-31,possible venting from flaring dataset
451,x323,2024-04-16,2024-04-25,possible venting from flaring dataset
452,x323,2024-05-26,2024-05-30,possible venting from flaring dataset
453,x323,2024-06-05,2024-06-14,possible venting from flaring dataset
454,x323,2024-07-20,2024-08-23,possible venting from flaring dataset
455,x323,2024-09-28,2024-10-02,possible venting from flaring dataset
456,x323,2024-11-07,2024-11-21,possible venting from flaring dataset
457,x323,2024-12-22,2024-12-26,possible venting from flaring dataset
458,x323,2025-02-10,2025-02-24,possible venting from flaring dataset
459,x323,2025-03-07,2025-03-21,possible venting from flaring dataset
460,x323,2025-04-26,2025-04-27,possible venting from flaring dataset
