lat,lon,start,end,note
-25.70018488746655,-43.15043550855376,2022-03-19,2022-04-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-04-18,2022-04-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-05-08,2022-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-07-02,2022-07-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-07-22,2022-08-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-08-16,2022-08-30,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-09-05,2022-09-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-10-20,2022-10-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-12-14,2022-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2022-12-24,2022-12-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-03,2023-01-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-13,2023-01-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-01-28,2023-02-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-02-22,2023-02-26,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-03-09,2023-03-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-04-03,2023-04-17,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-04-23,2023-05-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-05-13,2023-05-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-05-28,2023-06-01,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-06-17,2023-07-11,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-07-22,2023-07-31,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-08-06,2023-08-15,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-08-31,2023-09-29,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-10,2023-10-14,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-20,2023-10-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-10-30,2023-11-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2023-12-14,2023-12-18,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-01-08,2024-01-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-01-28,2024-02-06,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-02-12,2024-02-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-03-13,2024-03-17,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-03-23,2024-04-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-04-22,2024-05-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-06-01,2024-06-05,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-06-11,2024-06-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-07-16,2024-08-09,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-08-15,2024-08-24,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-08-30,2024-09-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-09-24,2024-10-03,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-10-24,2024-10-28,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-11-03,2024-11-07,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-11-18,2024-12-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2024-12-18,2024-12-22,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-01-12,2025-01-16,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-01-22,2025-01-31,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-02-06,2025-03-02,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-03-08,2025-03-12,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-03-18,2025-04-08,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-04-12,2025-04-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-04-27,2025-05-11,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-05-17,2025-05-21,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-06-11,2025-06-20,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-06-26,2025-06-27,possible venting from flaring dataset
-25.70018488746655,-43.15043550855376,2025-07-11,2025-07-17,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2016-03-25,2018-01-08,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-03-05,2018-04-03,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-04-14,2018-04-23,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-05-04,2018-06-02,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-09-11,2018-09-20,possible venting from flaring dataset
-25.688832016166906,-43.15138975627848,2018-10-21,2018-10-30,possible venting from flaring dataset
